_id,user,text,type,deleted,createdAt,updatedAt,__v,status_verified,status_sentCount
6525a9fa4a2e40f5334b0ca3,651306d4b7e431fd03977131,Коты очень милые 123.,cat,False,2023-10-10T19:46:02.023Z,2023-10-10T19:46:02.023Z,0,,0
62b08ac5ef9187478293663f,62adda4a0b18b4f4fbc62e8c,New fact 666.,cat,False,2022-06-20T14:57:09.460Z,2022-06-20T14:57:09.460Z,0,,0
63dc2b902b393f8bf4bbe13c,61b11802f9c77cdad2d21bd3,Cool test.,cat,False,2023-02-02T21:30:56.656Z,2023-02-02T21:30:56.656Z,0,,0
624dcc4554ab41b0cbe684f3,62436fb2f329dce574d3d94e,Fff.,cat,False,2022-04-06T17:22:13.463Z,2022-04-06T17:22:13.463Z,0,,0
6401390d9444b2a501a10965,640027109444b2a501a06ba8,At is the best animal in the world.,cat,False,2023-03-03T00:02:21.235Z,2023-03-03T00:02:21.235Z,0,,0
649f20405d8933eb493aea7d,647f54f28e4a4f596e4db733,"When asked if her husband had any hobbies, Mary Todd Lincoln is said to have replied ""cats."".",cat,False,2023-06-30T18:34:40.627Z,2023-06-30T18:34:40.627Z,0,,0
61add919d8d914c027b872f9,61add908d8d914c027b872d5,Hello cat.,cat,False,2021-12-06T09:34:17.366Z,2021-12-06T09:34:17.366Z,0,,0
63c99eec9ad43a5228fd5fd1,63bd1572cb93232c7353b865,1234567898wertyuiop[].,cat,False,2023-01-19T19:50:04.190Z,2023-01-19T19:50:04.190Z,0,,0
61b79ea8cf7c74ab45090a9a,61b3a2259acbc245b53953b7,Cat say Meow.,cat,False,2021-12-13T19:27:36.604Z,2021-12-13T19:27:36.604Z,0,,0
64623cd56e1ef21e906fe39f,644a4f0a86e35c38e78e0778,01.02.2013.,cat,False,2023-05-15T14:08:21.332Z,2023-05-15T14:08:21.332Z,0,,0
63cbcf0ad17ddd5f22556231,63c66c392a9b2de82ecbd07b,Другие коты.,cat,False,2023-01-21T11:39:54.825Z,2023-01-21T11:39:54.825Z,0,,0
